ano_compra;"nome_instituicao";"esfera";"cnpj_instituicao";"municipio_instituicao";"uf";compra;insercao;codigo_br;"descricao_catmat";"unidade_fornecimento";"generico";"anvisa";"modalidade_compra";"tipo_compra";capacidade;"unidade_medida";"unidade_fornecimento_capacidade";"cnpj_fornecedor";"fornecedor";"cnpj_fabricante";"fabricante";qtd_itens_comprados;preco_unitario;preco_total
"2026";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.402.080/0001-28";"CARIRA";"SE";"10/02/2026";"24/02/2026";"397506";"AGULHA HIPODÉRMICA, MATERIAL:AÇO INOXIDÁVEL SILICONIZADO, DIMENSÃO:22 G X 1 1/4"", TIPO PONTA:BISEL CURTO TRIFACETADO, TIPO CONEXÃO:CONECTOR LUER LOCK EM PLÁSTICO, TIPO FIXAÇÃO:PROTETOR PLÁSTICO, CARACTERÍSTICA ADICIONAL:COM SISTEMA SEGURANÇA SEGUNDO NR/32, TIPO USO:ESTÉRIL, DESCARTÁVEL, EMBALAGEM INDIVIDUAL";"CAIXA";;;"Pregão";"ADMINISTRATIVA";"100.0";"UN";"CAIXA 100.00 UN";"35.153.207/0001-80";"ESSENCIA HOSPITALAR LTDA";"37.820.994/0001-00";"MEDIX BRASIL INDUSTRIA DE DESCARTAVEIS HOSPITALARES LTDA";"50";"4.36";"218.0"
"2026";"MUNICIPIO DE OURO PRETO DO OESTE";"MUNICIPAL";"04.380.507/0001-79";"OURO PRETO DO OESTE";"RO";"10/02/2026";"27/02/2026";"355786";"ACETILCISTEÍNA, CONCENTRAÇAO:40 MG/ML, FORMA FARMACEUTICA:XAROPE";"FRASCO";;;"Pregão";"ADMINISTRATIVA";"120.0";"ML";"FRASCO 120.00 ML";"21.227.039/0001-16";"LIFE CENTER COMERCIO E DISTRIBUIDORA DE MEDICAMENTOS LTDA";"31.170.914/0001-24";"MAYBEN PHARMACEUTICAL LTDA";"1150";"4.86";"5589.0"
"2026";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.402.080/0001-28";"CARIRA";"SE";"10/02/2026";"24/02/2026";"242918";"LÂMINA BISTURI, MATERIAL:AÇO INOXIDÁVEL, TAMANHO:Nº 22, TIPO:DESCARTÁVEL, ESTERILIDADE:ESTÉRIL, CARACTERÍSTICAS ADICIONAIS:EMBALADA INDIVIDUALMENTE";"CAIXA";;;"Pregão";"ADMINISTRATIVA";"100.0";"UN";"CAIXA 100.00 UN";"35.153.207/0001-80";"ESSENCIA HOSPITALAR LTDA";"37.820.994/0001-00";"MEDIX BRASIL INDUSTRIA DE DESCARTAVEIS HOSPITALARES LTDA";"10";"18.75";"187.5"
"2026";"MUNICIPIO DE OURO PRETO DO OESTE";"MUNICIPAL";"04.380.507/0001-79";"OURO PRETO DO OESTE";"RO";"10/02/2026";"27/02/2026";"270558";"ACETILCISTEÍNA, DOSAGEM:20 MG/ML, INDICAÇÃO:XAROPE";"FRASCO";;;"Pregão";"ADMINISTRATIVA";"120.0";"ML";"FRASCO 120.00 ML";"21.227.039/0001-16";"LIFE CENTER COMERCIO E DISTRIBUIDORA DE MEDICAMENTOS LTDA";"31.170.914/0001-24";"MAYBEN PHARMACEUTICAL LTDA";"700";"4.98";"3486.0"
"2026";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.402.080/0001-28";"CARIRA";"SE";"10/02/2026";"24/02/2026";"485312";"MÁSCARA CIRÚRGICA, MATERIAL:NÃO TECIDO 100% POLIPROPILENO, FILTRO:ELEMENTO FILTRANTE INTERNO, EFICIÊNCIA:EFP MAIOR QUE 98% E BFE MAIOR QUE 95%, QUANTIDADE CAMADAS:MÍNIMO 3 CAMADAS, MODELO:AJUSTÁVEL, CLIPE NASAL, FORMATO:RETANGULAR, C/ PREGAS HORIZONTAIS, COR:C/ COR, TAMANHO:ADULTO, ESTERILIDADE:DESCARTÁVEL";"UNIDADE";;;"Pregão";"ADMINISTRATIVA";;;"UNIDADE";"35.153.207/0001-80";"ESSENCIA HOSPITALAR LTDA";"37.820.994/0001-00";"MEDIX BRASIL INDUSTRIA DE DESCARTAVEIS HOSPITALARES LTDA";"2500";"2.75";"6875.0"
"2026";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.402.080/0001-28";"CARIRA";"SE";"10/02/2026";"25/02/2026";"487011";"FIO DE SUTURA AGULHADO, MATERIAL FIO:CATGUT CROMADO, MODELO FIO:MULTIFILAMENTAR, DIÂMETRO FIO:2-0, COMPRIMENTO FIO:CERCA DE 70 CM, TIPO AGULHA:AGULHA 1/2 CÍRCULO, MODELO AGULHA:CILÍNDRICA ROBUSTA, COMPRIMENTO AGULHA:CERCA DE 35 MM, ESTERILIDADE:ESTÉRIL, APRESENTAçãO:EMBALAGEM INDIVIDUAL";"UNIDADE";;;"Pregão";"ADMINISTRATIVA";;;"UNIDADE";"00.659.050/0001-85";"CENTER MED COMERCIAL LTDA";"02.400.787/0001-04";"A C E INDUSTRIA E COMERCIO LTDA";"60";"45.4";"2724.0"
"2026";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.402.080/0001-28";"CARIRA";"SE";"10/02/2026";"24/02/2026";"620079";"<LABEL>LUVA CIR&#218;RGICA</LABEL><SPAN CLASS=""NG-STAR-INSERTED"">MATERIAL: BORRACHA NATURAL - L&#193;TEX<P CLASS=""PB-0 MB-0"">SUPERF&#205;CIE: SUPERF&#205;CIE LISA</P><SPAN CLASS=""NG-STAR-INSERTED""><P CLASS=""PB-0 MB-0"">FORMATO: ANAT&#212;MICO</P><SPAN CLASS=""NG-STAR-INSERTED""><P CLASS=""PB-0 MB-0"">P&#211;: COM P&#211; BIOABSORV&#205;VEL</P><SPAN CLASS=""NG-STAR-INSERTED""><P CLASS=""PB-0 MB-0"">COR: C/ COR</P><SPAN CLASS=""NG-STAR-INSERTED""><P CLASS=""PB-0 MB-0"">TAMANHO: N&#186; 8,5</P><SPAN CLASS=""NG-STAR-INSERTED""><P CLASS=""PB-0 MB-0"">APRESENTA&#199;&#195;O: EM PAR</P><SPAN CLASS=""NG-STAR-INSERTED""><P CLASS=""PB-0 MB-0"">ESTERILIDADE: EST&#201;RIL, USO &#218;NICO</P><SPAN CLASS=""NG-STAR-INSERTED""><P CLASS=""PB-0 MB-0"">EMBALAGEM: EMBALAGEM INDIVIDUAL</P>";"UNIDADE";;;"Pregão";"ADMINISTRATIVA";;;"UNIDADE";"35.153.207/0001-80";"ESSENCIA HOSPITALAR LTDA";"37.820.994/0001-00";"MEDIX BRASIL INDUSTRIA DE DESCARTAVEIS HOSPITALARES LTDA";"500";"0.62";"310.0"
"2026";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.402.080/0001-28";"CARIRA";"SE";"10/02/2026";"25/02/2026";"445576";"GARROTE, MATERIAL :FAIXA ELÁSTICA, COMPONENTE ADICIONAL:C/ SISTEMA DE TRAVA EM PLÁSTICO, TAMANHO:TAMANHO ADULTO, TIPO USO:REUTILIZÁVEL";"UNIDADE";;;"Pregão";"ADMINISTRATIVA";;;"UNIDADE";"00.659.050/0001-85";"CENTER MED COMERCIAL LTDA";"48.740.849/0007-13";"CRAL ARTIGOS PARA LABORATORIO LTDA";"50";"15.8";"790.0"
"2026";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.402.080/0001-28";"CARIRA";"SE";"10/02/2026";"24/02/2026";"435419";"MATERIAL GASOTERAPIA, MODELO:MICRONEBULIZADOR, SAÍDA:P/ OXIGÊNIO, TIPO MÁSCARA:MÁSCARA EM PLÁSTICO, TAMANHO:INFANTIL, TIPO FRASCO:FRASCO PLÁSTICO GRADUADO, C/ TAMPA, VOLUME:CERCA DE 10 ML, TIPO EXTENSÃO:EXTENSOR EM PVC C/ CONECTORES, COMPRIMENTO EXTENSÃO:CERCA DE 1,5 M, ESTERILIDADE :ESTERILIZÁVEL";"UNIDADE";;;"Pregão";"ADMINISTRATIVA";;;"UNIDADE";"35.153.207/0001-80";"ESSENCIA HOSPITALAR LTDA";"37.820.994/0001-00";"MEDIX BRASIL INDUSTRIA DE DESCARTAVEIS HOSPITALARES LTDA";"60";"6.02";"361.2"
"2026";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.402.080/0001-28";"CARIRA";"SE";"10/02/2026";"25/02/2026";"620077";"LUVA CIR&#218;RGICA - MATERIAL: BORRACHA NATURAL - L&#193;TEX - SUPERF&#205;CIE: SUPERF&#205;CIE LISA - FORMATO: ANAT&#212;MICO - P&#211;: COM P&#211; BIOABSORV&#205;VEL - COR: C/ COR - TAMANHO: N&#186; 7,5 - APRESENTA&#199;&#195;O: EM PAR - ESTERILIDADE: EST&#201;RIL, USO &#218;NICO.";"UNIDADE";;;"Pregão";"ADMINISTRATIVA";;;"UNIDADE";"00.659.050/0001-85";"CENTER MED COMERCIAL LTDA";"37.820.994/0001-00";"MEDIX BRASIL INDUSTRIA DE DESCARTAVEIS HOSPITALARES LTDA";"5000";"0.4";"2000.0"
"2026";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.402.080/0001-28";"CARIRA";"SE";"10/02/2026";"24/02/2026";"620075";"LUVA CIR&#218;RGICA, BORRACHA NATURAL - L&#193;TEX, SUPERF&#205;CIE LISA, ANAT&#212;MICO, COM P&#211; BIOABSORV&#205;VEL, C/ COR, N&#186; 6,5, EM PAR, EST&#201;RIL, USO &#218;NICO, EMBALAGEM INDIVIDUAL";"UNIDADE";;;"Pregão";"ADMINISTRATIVA";;;"UNIDADE";"35.153.207/0001-80";"ESSENCIA HOSPITALAR LTDA";"37.820.994/0001-00";"MEDIX BRASIL INDUSTRIA DE DESCARTAVEIS HOSPITALARES LTDA";"300";"0.63";"189.0"
"2026";"FUNDO MUNICIPAL DE SAUDE";"MUNICIPAL";"11.402.080/0001-28";"CARIRA";"SE";"10/02/2026";"25/02/2026";"620076";"LUVA CIR&#218;RGICA - MATERIAL: BORRACHA NATURAL - L&#193;TEX - SUPERF&#205;CIE: SUPERF&#205;CIE LISA - FORMATO: ANAT&#212;MICO - P&#211;: COM P&#211; BIOABSORV&#205;VEL - COR: C/ COR - TAMANHO: N&#186; 7,0 - APRESENTA&#199;&#195;O: EM PAR - ESTERILIDADE: EST&#201;RIL, USO &#218;NICO.";"UNIDADE";;;"Pregão";"ADMINISTRATIVA";;;"UNIDADE";"00.659.050/0001-85";"CENTER MED COMERCIAL LTDA";"37.820.994/0001-00";"MEDIX BRASIL INDUSTRIA DE DESCARTAVEIS HOSPITALARES LTDA";"3500";"0.43";"1505.0"
